id,text,label
G_6 Minutes,"﻿Yeah, I go by the name of Cassidy, The Hustler And I brought two of my niggaz with me And we about to shut the industry down Aiyyo wheezy, let's get it poppin' Hit me, front that shit, this the south side Got a fat dick on your mouth wide I've come to take it outside, nah, do it right here Hop out later ownin' everybody's home that you fuckin' with Wheezy F baby, please say the baby Riding with your bitch, got keys on the lady Triple gold these four tires on the whip Young Carter slidin' out, I'm flyer than the whip Yeah, higher than an angel, or hotter than the devil, the pot or kettle, uh The metal let 'em burn like earth shiver births, uh If there's any beef, I come runnin' like Mertz, uh Word up, eagle street I'm throwin' my curve up We take your ice cream and turn you into sherbert I got flow, I'm like sure, but if it's about dough, I'm like sure 'nuff I'm from the bird bunch, birdman J R, you niggaz bird lunch I see your lips moving but I ain't heard much You see the wrist moving, it look like pure punch I hear the playa hating but I don't endorse such I got the escalade, guts like the tour bus I got the styrofoam poured up with syrup And in the tires little package is gone Might I spend a good deal with these Firestones? I spit like Myer's bones, born in chromers For the buyers chromosomes, I got summers I got vicadens, valiums I ain't stoppin' Got pot and heroin, ex, oxycontin, and that's how we rockin' How can you hear that bop unless I'm be bopping Yeah, skip when you hear that click Cash money nigga, I'm that shit, whose begging, uh That's what I'm talking about Now Fab, spit at these niggaz and let them know Why they ain't fuckin' with you You're goddamn right, I'm feelin' myself A chauffeur, no Sir, I'm wheelin' myself Looking for a chick chillin' for self So I can show her the suicides, and talk her into killin' herself I'm having problems dealing with wealth But you wouldn't understand it, until you get a million yourself You niggaz must've got a deal for your health Your CD is frozen food, it just chills on the shelf I spend big, at any time I can start splurging The twin cigs open chests like a heart surgeon And I'm buttoned up, I'm just a blue collar crook But I keep a stack thick as few college books, I got a new polished look And twenty dime bitches, to show y'all niggaz how my two dollars look The boy's got at least six digits on So the guns gotta be at least midget long The money is like ten bridges long I throw bread around just to turn pigeons on I got some good smoke just for puffers The two grand twenty's make The Hustlers suffer Plus it's fluffer, than a cotton ball I've gotten calls, wantin' me to put the pot in malls But nowadays you can't put it past 'em I got a Dan Marino arm, I'm 'bout to throw some bullets past 'em And the niggaz in the hood keep quotin' my lines I don't jump ship, I keep floatin' in mine, long as I keep toting, I'm fine I'mma have these dick sucking niggaz deep throatin' the nine I jumped in the English ship, benzed whip It's Terminator 2 chrome the engines dip I'm reading scripts, no, not the penmanship The box office shit, I box off this bitch Jessica Alba, Kirsten Dunst And still make a mil' off the first of months These dudes be the first to front 'Til they family and friends is in limos, they in hearse in front I'm in the top position, I can make you a proposition I'm in the hard top waitin' on the drop edition To hell with the patience I'mma send a nigga down under like Australia vacations Yeah this, what is this? My niggaz just killed y'all and I'mma close the casket I'm tryin' not to let this industry get the best of me y'all I work hard for the fame, the game's stressin' me y'all All they do is complain what they expect from me y'all From the Hood to Hollywood, they respectin' me y'all And even overseas they acceptin' me y'all All the ladies show me love, the thugs reppin' me y'all I get a lot of dirty money, so respect me or fall But I'm saving all my checks, I'm investin' 'em all They say, what goes up is gon' definitely fall Even the stars work success, it's my destiny y'all Look, I cook tracks, I got the recipe y'all You can't name another cat that can mess with me y'all At the shows all the hoes be molesting me y'all I got broads cryin', tryin' to get next to me y'all I got broads cravin', beggin' to have sex with me y'all Screamin', ""Cash, you don't know how sexy you are? And I'm happy I'm alive, God's blessin' me y'all And all the problems that arrive, is God testin' me y'all? So I pray everyday, but I ain't prayin' too much 'Cause I be sinnin' everyday, so I ain't prayin' enough And we all could be beat, and I ain't saying I'm tough But if it's beef I don't speak, I ain't saying ""What's up?"" If it's beef when we meet, then I'm spaying shit up Prraat, prraat, I ain't sayin' too much, and that's that 'Cause that cat you embracin' with love Might clap that gat, 'cause he got hate in his blood Keep your friends at a distance and your enemies close 'Cause the folks you call friends, can envy the most Some cats'll hang themselves if you give 'em a rope Burn the bridge and don't give a boat, let 'em sink Sometimes you gotta give 'em some some time, to let 'em think But sometimes you gotta give 'em the nine, and let 'em stink You can't bring every horse to the pond, and let 'em drink I'd rather keep my eyes wide open, instead of blink As soon as your eyes shut, them niggaz will ride up And the guys that you trusted, be gettin' you tied up And we all gotta die, but I ain't ready to leave That's why even if it's petty, I'll be ready to squeeze But put a cheddar in cheese, guac a moola I pop the ruger, send that hot shit through ya Like booya, that's the sound when the pound bustin' Ooh, ah, you'll be laying on the ground sufferin' Clowning's nothin' to pull out and blast you I try to only resort to violence if I have to But man niggaz out here ain't playin' fair So before the odds are even, I'm leavin' them layin' there And I ain't even playin', believe what I'm saying here 'Cause before this shit gets further Your click gets murdered and found in a hole in the grass For tryin' to play that thug role, I'll stomp a mud hole in your ass And this Cass, nigga I'm that sick Full surface nigga I'm that shit, bitch",good
G_A 100 Clip,"﻿It's time to revitalize, I'm the boy niggas idolize And I'm not surprised, I'm the truth, but a lot of guys now be writing down rounds with all kind of lies I feel like all them kind of guys should get disqualified When I was in the county jail fighting homicides, you was living with your grandmomma on your momma's side Tryna ride could leave you traumatized But if you kill everyone you beefing with, then the drama dies When the contract finalized, bitch get hit with the magnum, the cold world condom sized I'm kind of wise, if they took you to the bing, pussy you would sing like that thing between Rihanna thighs I'm kind of high, got the just-smoked some ganja eyes and I got it in, just let me know what you tryna buy I sold the white, been buck, no over-bite Yo, it's like you need it, I could get it to you overnight You so polite, yo I know your type, and I know you like to tell jokes when you rhyme, like Dolomite I'm tryna underpay for what I sell overpriced to the white folk to buy a white Ghost, poltergeist Champagne over ice, shrimp scampi over rice I'm really a willy, you gassed up like a motorbike So it's like they be hating, taking turns now I'm turnin' up, tryna get deals that I turned down My life took a turn, but shit gon' turn 'round I'ma earn til I'm in the urn, it's my turn now If you ain't been concerned, don't get all concerned now When I break your jaw, it'll make your drawers turn brown Beat shit down your leg if you misbehave I could spit for days, getting chicken when I hit the stage I'm dumb lit, that's why I'm gettin' paid But fuck the dumb shit, you get a drumstick, it's not a chicken leg I'm just on a different wave than the rest of 'em God back blessing 'em cause Bars back pressing 'em That's all facts, all's whack, I can't mess with 'em I can tell that somebody was sexually molesting 'em Yo, he so feminine I think he take estrogen, and I'm a different specimen, so who did you expect to win? Him? Hell no, he took a L yo, and I predicted that he would fail yo, I'm psychic now Its like I write about my life when I write a round He go on the internet look up rumors and write it down But Cass learned from the past so I'm nicer now",good
G_AM to PM,"﻿[Intro] I still move work, from the A.M. to the P.M. Niggas got beef, I'm gonna spray 'em when I see 'em [2X] [Cassidy] I pump on the street from the A.M. to the P.M. Nigga want beef, I'm gonna spray 'em when I see 'em Lay 'em when I see 'em, AK 'em when I see 'em Hop out the Bronco, I'll O.J. 'em when I see 'em Cut a bone out his skin, fish fo-lay 'em when I see 'em And wire is real, Kanye 'em when I see 'em On their job, so I'll pay 'em when I see 'em Turn boys to men I'll wine Yayo when I see 'em 'Cause I'll be on the grid from the P.M. to the A.M. Paint pictures with my rhymes, you can see 'em when I say 'em My songs like movies you can see 'em when you play them If a nigga want beef, when I see 'em I'm gonna spray 'em For six g's I could get your wip swiss cheesed I'm like a red nose pit, you a mixed bread Bitch please all 'em dudes in your crew ass I'll get you strangled with the strings on your doo-rag [Chorus: repeat 2X] I still move work from the A.M. to the P.M. Niggas got beef, I'm gonna spray 'em when I see 'em I still move work from the A.M. to the P.M. Niggas got beef, I'm gonna spray 'em when I see 'em [Cassidy] I'm gonna let you talk all stupid, till you get harked all stupid Sparked out stupid, outlined in charcoal stupid Dog I bite I don't bark all stupid, it is what it is I'm in the coupe room dropped all stupid Fitted hat cocked all stupid, gettin' top off stupid My clientele cop all stupid We excels on the block all stupid, it is what it is It's a fact that I rap all stupid Get your wig pushed back all stupid We strapped all stupid, I'll get you clapped all stupid Don't let the pills and the yack make you act all stupid Yeah I do my thing all stupid, let my chain bling all stupid My ring all stupid and my earring all stupid I got them things and I swing all stupid [Chorus] [Cassidy] Yo, with my flow you all amazed and astonished I've been hot since I got my first Sega with Sonic Back in the days when Shawn Kemp played for the sonics I rocked the huge jeans and I played the atonics You know I blow A'z, I'll be blazing the chronic It got my mind scrambled the and egg and an omelette I talk to God every day, and he made me a promise Me and T like, Malcolm and Alasia mahomie Me and Swizz like Martin and Jessy But the fact that I can get assassinated, is starting to stress me I ain't tryna let the police department arrest me But I still keep the steel tucked under the fresh tee And I ain't just raping for my health So before you diss me, you be better off laughing at yourself Cause I ain't tryna battle on the mic I have them goons hop out on you like they did Harrell at the light [Chorus]",good
G_B-Boy Stance Dirty,"﻿[Intro: Cassidy & Swizz Beatz] Chillin' in the club in my b-boy stance With my hoodie on and my gun in my pants Yeah Okay I'm ready to get my drink on, on this one Let's go [Hook: Swizz Beats] Chillin' in the club in my b-boy stance With my hoodie on and my gun in my pants I'm fresh, ye-yes, I'm fresh, ye-yes I'm fresh, ye-yes, I'm fresh, ye-yes Chillin' in the club in my b-boy stance With my hoodie on and my gun in my pants I'm fresh, ye-yes, I'm fresh, ye-yes I'm fresh, ye-yes, I'm fresh, ye-yes [Verse 1: Cassidy] I'm fresh to death, dressed to impress Fresh for real, nigga dressed to kill I'm the best for real, I was blessed with skill The FS in my necklace still I'm a threat for real, I come at niggas necks for real Tryna build my success got me stressed for real I'ma gain my respect cause I'm extra real And I'm extra fly, you just extra high If it wasn't for them drugs, you'd be extra shy Knowin' if I throw them slugs you gon' testify F the extra shit, get an extra clip I get some extra lip, just expect to die I'll put a hole in your head, cause I hold bread And my lawyer Johnny Cochran old head Clappin' a pound, he ain't pattin' me down And I stay strapped man I got my gat on me now See rap shows near San Francisco Get tickets as low as $60 You might also like A.M. To P.M. Cassidy Crack Cassidy Rolling 110 Deep DJ Kay Slay [Hook: Swizz Beats] Chillin' in the club in my b-boy stance With my hoodie on and my gun in my pants I'm fresh, ye-yes, I'm fresh, ye-yes I'm fresh, ye-yes, I'm fresh, ye-yes Chillin' in the club in my b-boy stance With my hoodie on and my gun in my pants I'm fresh, ye-yes, I'm fresh, ye-yes I'm fresh, ye-yes, I'm fresh, ye-yes [Verse 2: Cassidy] I get it poppin' on the block like a B-Boy If you cop a couple of rocks you get a free boy You could take a couple of shots and get a key loy If you try to take what I got, a stick me boy See boy, tryna fuck around with me boy Your wrist like fuckin' a bitch with no see boy I'm a G boy, get smoked by the P boy Coke by the key boy, got dope and the E boy Me, boy, I'm bout to take the industry over Lifes a war, we was meant to be soldiers I sat back for years and watched rap cats pretend to be Hova Pretend to be Big, pretend to be Pac, pretend to be hot But all that pretendin' gon' eventually stop And the slugs gonna eventually pop Cause all the real thugs in the box or the penitentiary 'ox VIP lookin' like a penitentiary block [Hook: Swizz Beats] Chillin' in the club in my b-boy stance With my hoodie on and my gun in my pants I'm fresh, ye-yes, I'm fresh, ye-yes I'm fresh, ye-yes, I'm fresh, ye-yes Chillin' in the club in my b-boy stance With my hoodie on and my gun in my pants I'm fresh, ye-yes, I'm fresh, ye-yes I'm fresh, ye-yes, I'm fresh, ye-yes [Verse 3: Cassidy] Okay, I'm fresh to death like a million bucks My Benz got big rims and my ceilin' lift up Dependin' on how I'm feelin' might be wheelin' the truck Either way the chicks still on my nuts; yaknawutI'msayin I ain't playin' with them niggas that be feelin' they tough I ain't a killa but you still will get touched I network, sweatshirt with the hood, got the steel in the tuck And my lil' man feelin' the dutch while I chill in the cut On my lean, chicks stealin' my stance Chinese print on the jeans, chicks spillin' my pants And I got the steel in my pants, don't grind on me I can't dance I got the nine on me Heckler and Koch mami fresh from the box mami Got your punani wet cause I'm fresh to the socks mami Fresh from the block mami, so I'm makin' it fun See life a bitch, but I'm makin' her cum and umm - [Hook: Swizz Beats] Chillin' in the club in my b-boy stance With my hoodie on and my gun in my pants I'm fresh, ye-yes, I'm fresh, ye-yes I'm fresh, ye-yes, I'm fresh, ye-yes Chillin' in the club in my b-boy stance With my hoodie on and my gun in my pants I'm fresh, ye-yes, I'm fresh, ye-yes I'm fresh, ye-yes, I'm fresh, ye-yes Chillin' in the club in my b-boy stance With my hoodie on and my gun in my pants I'm fresh, ye-yes, I'm fresh, ye-yes I'm fresh, ye-yes, I'm fresh, ye-yes I said I'm chillin' in the club in my b-boy stance With my hoodie on and my gun in my pants I'm fresh, ye-yes, I'm fresh, ye-yes I'm fresh, ye-yes, I'm fresh, ye-yes (oh!)",good
G_Bellybutton,"﻿Yeah, Cassidy, huh This one of my joints for the ladies, man Lift up ya shirt, let me see ya bellybutton girl You got a belly ring, show ya bellybutton girl I'm not impressed by the money and the bling Show me respect and then I'll show you my belly ring Lift up ya shirt, let me see ya bellybutton girl You got a belly ring, show ya bellybutton girl Boy, you my type and I like to do my thing Treat me right, I'll show you what's under my belly ring Ain't nothin' funny 'bout this money I be touchin' girl I get the cheese, if you need it then it's nothin' girl You might not know me but I know if we was fuckin' girl You would get blazed like the haze I be puffin' girl Kissin' and huggin' girl, lickin' and suckin' girl Ya body is the truth and you cute as a button girl And you know I sold rock and I be hustlin' girl The pot I got on my stove top is not stuffin' girl You might not think that I'm the one to put ya trust in girl But I won't break ya heart for nothin', I ain't bluffing girl I think you got a crush on me, I see you blushin' girl I got you tempted 'cause I'm smooth as David Ruffin girl Lift up ya shirt, let me see ya bellybutton girl You got a belly ring, show ya bellybutton girl I'm not impressed by the money and the bling Show me respect and then I'll show you my belly ring Lift up ya shirt, let me see ya bellybutton girl You got a belly ring, show ya bellybutton girl Boy, you my type and I like to do my thing Treat me right, I'll show you what's under my belly ring I'm the kid from the telly with R. Kelly, man And I'm a ass, I'm a titty, I'm a belly man I play them low like when I'm sittin' on Pirelli's man I'm blowin' up so they be blowin' up my celly man Doin' they gully dance, showin' they belly man It can't be jam because they shake it like it's jelly man And it's some girls that probably never even wanted one Till they heard the song and then they went and got they stomach done Ya belly ring on bling, let ya belly floss Just go bezerk, lift up ya shirt and show ya belly off It's eye candy for the guys and it's fly, mami And you might like it if you try, don't be shy, mami Lift up ya shirt, let me see ya bellybutton girl You got a belly ring, show ya bellybutton girl I'm not impressed by the money and the bling Show me respect and then I'll show you my belly ring Lift up ya shirt, let me see ya bellybutton girl You got a belly ring, show ya bellybutton girl Boy, you my type and I like to do my thing Treat me right, I'll show you what's under my belly ring And I know it, some women Who don't have a belly ring, it's okay, ay, ay 'Cause you can go to the store And get yourself a belly ring today, ay, ay On the radio, the TV, even the press Women get their bellybuttons pierced, even they breasts You supposed to cloth yourself, not expose yourself But when this song come on, they can't control theyself They be doin', they thizzle y'all, makin' it wiggle y'all I got 'em shakin' and bouncin' it like the dribble y'all You know the izzle y'all, I'm off the hizzle y'all For shizzle my nizzle, I love my nigga, swizzle y'all 'Cause he the cat that make the tracks, I'm the cat that's rappin' I'm back in action and I'm 'bout to get it crack-a-lackin' I'm that boy, you can be that bitch So if you got ya belly pierced, let me see that sis, just Lift up ya shirt, let me see ya bellybutton girl You got a belly ring, show ya bellybutton girl I'm not impressed by the money and the bling Show me respect and then I'll show you my belly ring Lift up ya shirt, let me see ya bellybutton girl You got a belly ring, show ya bellybutton girl Boy, you my type and I like to do my thing Treat me right, I'll show you what's under my belly ring Lift up ya shirt, let me see ya bellybutton girl You got a belly ring, show ya bellybutton girl I'm not impressed by the money and the bling Show me respect and then I'll show you my belly ring Lift up ya shirt, let me see ya bellybutton girl You got a belly ring, show ya bellybutton girl Boy, you my type and I like to do my thing Treat me right, I'll show you what's under my belly ring",good
G_Blood Pressure Dirty,"﻿(Chorus - Swizz Beatz) My blood pressure's buildin' (4x) It's Cassidy trick It's Cassidy bitch It's Cassidy clique It's Cassidy beeyatch! (Verse 1 - Cassidy) Ayo, what'chu know 'bout this world I'm in Everynight I twist up and get drunk 'til I hurl again Then i'll pour some more and start twirlin' then And might go and get my pipes up by your girl and them If you a thug, stop girlin' then If I see a car in traffic, I'm a jacket like Burlington It's Cassidy, who's thorough as him, nobody I keep a gun tucked cause I don't trust nobody I got plenty biscuits And ya'll niggaz like skinny bitches yall ain't got nobodies Watch how you talk to me man Before you faggots get smacked with the dark skin part of my hand Understand? (Repeat Chorus) (Verse 2) I'm the best in building, a prospect destined for millions Threat to civillians and my blood pressure is building Catch feelings? You be wet, catchin' a steel in Weapons directed, at ya' chest, neck and ya' grill and Still, there's no regrets, but I confessed that I kill men I spill men's blood on the rug next to there children And if you wan' set it? Cass' bettin' his deal in Yes I will win, when I spill extra appealin' Come to Limekill, we got them exstasy pills and Got the whip fully equiped except for the ceilin' I got a stash in it, the Smith-n-Wessun can chill in I might get arressted, but until then? (Repeat Chorus) (Verse 3) If I hear you gettin' chips, pitbulls where you sleepin' Everybody on the fuckin' floor, I'm squeezin' Click the four, grip your whore by her weave and Bitch, what muthafuckin' drawer is the keys in? Got you on your knees like a braud and you pleadin' (Uh, you got it dog, take it all, I don't need it) I'll clap you and have you on your carpet, bleedin' Throw your stuff in the trunk of the Ford then I'm leavin Now I got a raw load more than I'm needin And that's the reason, why you and whore is screamin' Pull this, squeezed then if you holdin' them hammers I'm focused like disposable cameras, nigga! (Repeat Chorus until end)",good
G_sample1,"Layered wordplay and multis, strong angles, clean structure, no stumbles.",good
B_100 WAYS,"﻿[Intro] Pop out, lit [Chorus] Most these niggas pussy, I don't get it (That's a fact) Why the fuck they act like they with it? (They ain't with shit) Up it, I'ma click it, big 50 round on my blicky (Ride it) You know you ain't duckin' that switchy (You ain't duck it) Doin' buck-fifty, track hard, doin' buck-fifty Every white bitch in my city, my niggas gon' get 'em Once I say it's up, we gon' hit 'em I don't give a fuck if they kill 'em (Kill 'em) [Verse] Niggas die off of leg shots every day (That's tough) I can name a hundred times that ain't go they way (Ain't go they way) I can name twenty thousand hoes that got fucked (Shit, christ) I guarantee you none of my bitches ain't dumb (Like are you dumb?) My last opp caught a blank shot to the head (To the head) The nigga ain't dead, but he gotta see the scar every day (He gotta see the scar) I bet that shit remind him that he gotta get back (Time to get back) That nigga still ain't get back, that's a fact (No cap) And niggas still know I'm the king of my city She ain't showin' no pity, she ain't givin' out 50 shit That blicky can't even fit in my Amiris, this a fifty-clip This shit get to ball, niggas dancin' on some Diddy shit, aye See rap shows near San Francisco Get tickets as low as $60 You might also like HISS Megan Thee Stallion NADA 6ix9ine Shaka Laka 6ix9ine & Yailin la Mas Viral [Chorus] Most these niggas pussy, I don't get it (That's a fact) Why the fuck they act like they with it? (Yeah) Up it, I'ma click it (Yeah), big 50 round on my blicky (Ride it) You know you ain't duckin' that switchy (You ain't duck it) Doin' buck-fifty, track hard, doin' buck-fifty Every white bitch in my city, my niggas gon' get 'em Once I say it's up, we gon' hit 'em I don't give a fuck if they kill 'em",bad
B_2 Diccs,"﻿2 Diccs - Blueface Lyrics About Q&A Comments Sign Up Search lyrics & more 1 Cover art for 2 Diccs by Blueface 2 Diccs Blueface Featuring YBN Nahmir Producers Extendo Beats, Mike Crook & 1 more Track 16 on Find the Beat Mar. 13, 2020 1 viewer 12.1K views 21 Contributors 2 Diccs Lyrics [Intro: Blueface] Blueface, baby (Low the Great) Yeah, aight It's hard to dance with two dicks, bitch, I boogie (Cállate, Mike Crook) [Chorus: Blueface] It's hard to dance with two dicks, bitch, I boogie (Bitch, I boogie) Let a nigga trip, I go man into boogie (Boogie) All black hoodie, Glock sing like A Boogie (Like A Boogie) Big MAC, boy, this bitch spittin' loogies (Ooh) It's hard to dance with two dicks, bitch, I boogie (Bitch, I boogie) Let a nigga trip, I go man into boogie (Boogie) All black hoodie, Glock sing like A Boogie (Like A Boogie) Big MAC, boy, this bitch spittin' loogies (Ooh) [Verse 1: Blueface] Yeah, aight, this MAC spittin' loogies Famous Crip, gotta keep two dicks in my Trueys (Scoop) Never lackin', you niggas naked like a hoochie (Never lackin') I keep a dick for a Glock and a groupie (Two dicks) Niggas want beef, I leave more shells than Lucy (Ooh) It's hard to dance with two dicks, bitch, I boogie (Two dicks) My Glock hate niggas in hoodies, George Zimmerman You reach, this Glock teach lessons like a punishment, finish him (Yeah) MC Hammer on me, make him do the Running Man (Running Man) Rich Crip, still slide with a hundred bands (Hundred bands, scoop) Bitch, I'm really up (I'm really up) I'm not crazy, baby, I just don't give a fuck See rap shows near San Francisco Get tickets as low as $60 You might also like Street Shit Blueface Thotiana (Cardi B Remix) Blueface Lose Yourself Eminem [Chorus: Blueface] It's hard to dance with two dicks, bitch, I boogie (Bitch, I boogie) Let a nigga trip, I go man into boogie (Boogie) All black hoodie, Glock sing like A Boogie (Like A Boogie) Big MAC, boy, this bitch spittin' loogies (Ooh) It's hard to dance with two dicks, bitch, I boogie (Bitch, I boogie) Let a nigga trip, I go man into boogie (Boogie) All black hoodie, Glock sing like A Boogie (Like A Boogie) Big MAC, boy, this bitch spittin' loogies (Ooh) [Verse 2: YBN Nahmir] Yup, these niggas know what time it is 40 on me, if you wanna trip, I'm gon' use it Stop playin', I'm on the bullshit with my opposition Pull up, spark somethin', man down, ain't no competition Big arms on me, up the blower if you get to walkin' down Took him back to preschool, they done chalked him out Ain't no gun stuffed in his MCM backpack Bitches be ducks, I had to call my nigga Aflac Flocked some houses with my niggas, then I came up Outside gettin' the dough, you better keep your chain tucked I'm probably posted in your set, trippin' with my lil' cuz Leave a pussy in the sky when I really let that thing bust [Chorus: Blueface] It's hard to dance with two dicks, bitch, I boogie (Bitch, I boogie) Let a nigga trip, I go man into boogie (Boogie) All black hoodie, Glock sing like A Boogie (Like A Boogie) Big MAC, boy, this bitch spittin' loogies (Ooh) It's hard to dance with two dicks, bitch, I boogie (Bitch, I boogie) Let a nigga trip, I go man into boogie (Boogie) All black hoodie, Glock sing like A Boogie (Like A Boogie) Big MAC, boy, this bitch spittin' loogies (Ooh)",bad
B_25 Drop,"﻿intro Y′all, y'all, y′all Yeah, nigga, don't play with the money game Don't play with the M.S.O.D. boys, drink up chorus Yuh, someone nigga on running the block Young nigga, he cool with that Glock I don′t wish jail on none of my opps Free the lil′ boy so we can drop Young nigga pull up in a 25 drop Young nigga pull off, scrap like Robocop Young nigga get the Drop, pull up and body drop Young nigga pull up and spin your block verse Inside we let that pills depart Draco Mountain, I'm sending the tippets off Young nigga cut to my truck, getting re-rocked High power, have me locked down on 3,000 blocks Have me locked down with no bills One day when I came out of sales Have me locked down, I will read in my mail Plug in me work, cut a pack on sales Young Drako, I ran on my clients One day, one day I fucked up the Deezus case Someone said, ran Deezus, yeah We make it rain, we chopping in it with him Utah by that county, ain′t been in him Boys at Maroney, it look like a chandelier Young Drako, you know he gon' discipline Whack him, lil′ nigga, let's get this shit crystal clear chorus So I don′t want a nigga, I'm running the block Young nigga, he quit with that Glock I don't wish jail on none of my opps Free the lil′ boy so we can pop Young nigga pull up in a 25 drop Young nigga pull off, scrap like Robocop Young nigga get the drop, pull up and body drop Young nigga pull up and spin your block verse You try this shit, boy, you gon′ lose Young nigga, 15, scrap that with that too Young nigga pull up, he gon' shoot Mind you bein′ in with you, nigga better do Young nigga pull up, scrap hot that that Bentley cool You play with the Glock with that switch, boy, I show her that chopper You play with the gang, then I'm dropping You spinning around with that Glock, know that I′m popping You trap up, I call no guy, pass it to Dove 360 that brick, put that pack in the end I'm from record to make a million off an interview Play with the gang, then you know that we spinnin′ through bridge I pack in a blank, Zaza roll it, nigga, we get rid of you VIP on the couch, bad, bad, boy, I ain't feeling you Honey cake for the back end, one young Draco and them killers pulling through I be put ice out and my teeth on my hip My wife's nigga on my wrist, too I come inside the trap house, I with a pound nigga in the brick I got ice on me like a igloo I′m the shit, and my bitch the shit, too That ain′t shit, but it's on my wrist, too verse We gon′ clap shit, now that pistol We gon' push up by that issue I done took off on these niggas like missiles I′m havin' shooters on roof, they can′t miss you 762, but if they gon' hit you Money gang fed, nigga, I'ma fish you Young Draco, I got this shit out the gristle (gang) chorus Yeah, zaza want a nigga, I′m running the block Young nigga, he quit with that Glock I don′t wish jail on none of my opps Freedom up, boy, so we can pop Young nigga, pull up in the 25 drop Young nigga, pull up, scrawl like Robocop Young nigga, get the drop, pull up and body drop Young nigga, pull up and spin your block",bad
